,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,12200,59.0,6.0,2004.0,Sports,6.0,5.0,0.01,0.0,0.0,0.07
1,10814,261.0,21.0,2002.0,Action,6.0,7.0,0.02,0.0,0.0,0.1
2,894,242.0,18.0,2008.0,Sports,89.0,91.0,0.0,0.29,0.12,1.93
3,4808,510.0,11.0,2008.0,Action,117.0,0.0,0.0,0.4,0.0,0.4
4,13925,104.0,22.0,2015.0,Sports,120.0,0.0,0.04,0.0,0.0,0.04
5,14890,463.0,20.0,2015.0,Action,6.0,0.0,0.02,0.0,0.0,0.03
6,505,73.0,10.0,1998.0,Racing,25.0,9.0,2.43,0.12,0.22,2.87
7,11627,144.0,21.0,2005.0,Racing,52.0,6.0,0.02,0.0,0.0,0.08
8,8397,462.0,11.0,2008.0,Misc,113.0,8.0,0.06,0.0,0.02,0.17
9,2146,219.0,6.0,2006.0,Action,71.0,65.0,0.19,0.0,0.03,0.97
10,9192,51.0,10.0,1996.0,Sports,68.0,8.0,0.05,0.0,0.01,0.14
11,6758,97.0,3.0,2009.0,Adventure,34.0,22.0,0.01,0.0,0.02,0.25
12,2502,109.0,12.0,2010.0,Fighting,87.0,41.0,0.2,0.11,0.09,0.83
13,1848,483.0,12.0,2010.0,Action,34.0,50.0,0.42,0.0,0.17,1.11
14,9727,167.0,10.0,1998.0,Role-Playing,6.0,7.0,0.05,0.0,0.01,0.12
15,16343,166.0,6.0,2003.0,Racing,39.0,1.0,0.0,0.0,0.0,0.01
16,4205,405.0,3.0,2007.0,Action,6.0,42.0,0.0,0.0,0.04,0.47
17,5702,258.0,9.0,2011.0,Role-Playing,122.0,12.0,0.14,0.0,0.05,0.31
18,1240,62.0,12.0,2006.0,Shooter,6.0,56.0,0.63,0.03,0.26,1.52
19,4451,44.0,10.0,1996.0,Role-Playing,29.0,25.0,0.17,0.0,0.03,0.44
20,10266,311.0,15.0,2016.0,Fighting,87.0,0.0,0.03,0.07,0.01,0.11
21,16253,423.0,12.0,2014.0,Platform,24.0,0.0,0.0,0.01,0.0,0.01
22,3203,440.0,1.0,2012.0,Misc,87.0,0.0,0.0,0.63,0.0,0.63
23,5035,137.0,4.0,1991.0,Role-Playing,111.0,0.0,0.0,0.38,0.0,0.38
24,10531,212.0,3.0,2007.0,Simulation,68.0,0.0,0.0,0.1,0.0,0.1
25,15832,326.0,1.0,2014.0,Adventure,24.0,0.0,0.0,0.02,0.0,0.02
26,13699,68.0,5.0,2004.0,Action,37.0,3.0,0.01,0.0,0.0,0.04
27,14287,493.0,14.0,2004.0,Puzzle,1.0,3.0,0.0,0.0,0.0,0.03
28,15471,491.0,9.0,2006.0,Strategy,13.0,0.0,0.02,0.0,0.0,0.02
29,10112,275.0,21.0,2002.0,Shooter,45.0,4.0,0.01,0.06,0.0,0.11
30,6650,65.0,5.0,2004.0,Misc,1111,18.0,0.07,0.0,0.0,0.25
31,1332,478.0,11.0,2005.0,Sports,6.0,89.0,0.05,0.0,0.02,1.45
32,8821,211.0,14.0,2005.0,Role-Playing,107.0,14.0,0.0,0.0,0.01,0.15
33,5634,213.0,4.0,1995.0,Puzzle,89.0,0.0,0.0,0.32,0.0,0.32
34,14647,42.0,3.0,2009.0,Action,106.0,0.0,0.0,0.03,0.0,0.03
35,8373,47.0,17.0,1996.0,Shooter,54.0,0.0,0.0,0.17,0.0,0.17
36,5896,357.0,11.0,2000.0,Platform,122.0,15.0,0.11,0.0,0.04,0.3
37,15911,10.0,1.0,2014.0,Adventure,70.0,1.0,0.0,0.0,0.0,0.02
38,2338,330.0,4.0,2001.0,Strategy,89.0,0.0,0.0,0.89,0.0,0.89
39,13585,294.0,3.0,2009.0,Action,115.0,0.0,0.0,0.04,0.0,0.04
40,4616,19.0,10.0,1999.0,Role-Playing,107.0,0.0,0.0,0.39,0.03,0.42
41,2511,416.0,18.0,2009.0,Action,71.0,43.0,0.3,0.0,0.08,0.82
42,6322,450.0,12.0,2011.0,Action,122.0,6.0,0.16,0.0,0.05,0.27
43,11832,332.0,5.0,2005.0,Misc,131.0,5.0,0.02,0.0,0.0,0.07
44,666,233.0,20.0,2007.0,Sports,37.0,99.0,0.01,0.0,0.18,2.37
45,11970,362.0,3.0,2011.0,Sports,33.0,7.0,0.0,0.0,0.0,0.07
46,14278,433.0,12.0,2014.0,Role-Playing,87.0,0.0,0.0,0.03,0.0,0.03
47,10316,181.0,10.0,1997.0,Shooter,48.0,6.0,0.04,0.0,0.01,0.11
48,11509,60.0,11.0,2010.0,Sports,6.0,4.0,0.03,0.0,0.01,0.08
49,7818,443.0,5.0,2002.0,Role-Playing,87.0,0.0,0.0,0.19,0.0,0.19
50,4981,487.0,10.0,1996.0,Sports,38.0,21.0,0.15,0.0,0.03,0.38
51,4448,454.0,20.0,2007.0,Shooter,116.0,36.0,0.04,0.01,0.04,0.44
52,16198,222.0,9.0,1999.0,Action,69.0,0.0,0.01,0.0,0.0,0.01
53,6724,304.0,20.0,2012.0,Action,117.0,16.0,0.05,0.03,0.02,0.25
54,433,364.0,3.0,2008.0,Misc,89.0,55.0,0.51,1.93,0.14,3.17
55,7503,60.0,18.0,2010.0,Sports,6.0,19.0,0.0,0.0,0.01,0.2
56,4073,264.0,11.0,2001.0,Misc,54.0,0.0,0.0,0.49,0.0,0.49
57,5771,415.0,21.0,1111,Shooter,6.0,23.0,0.07,0.0,0.01,0.31
58,3052,526.0,3.0,2006.0,Misc,56.0,0.0,0.0,0.66,0.0,0.66
59,9523,333.0,14.0,2010.0,Misc,68.0,0.0,0.0,0.13,0.0,0.13
60,1294,71.0,3.0,2008.0,Role-Playing,110.0,61.0,0.2,0.49,0.09,1.47
61,11303,460.0,10.0,1999.0,Fighting,105.0,5.0,0.03,0.0,0.01,0.08
62,4878,435.0,11.0,2005.0,Racing,64.0,33.0,0.01,0.0,0.05,0.4
63,3519,408.0,5.0,2004.0,Action,127.0,40.0,0.15,0.0,0.01,0.57
64,11609,175.0,18.0,2010.0,Shooter,106.0,6.0,0.01,0.0,0.01,0.08
65,2697,271.0,15.0,2012.0,Fighting,128.0,46.0,0.18,0.0,0.12,0.76
66,9076,0.0,14.0,2010.0,Role-Playing,87.0,0.0,0.0,0.14,0.0,0.14
67,2125,236.0,20.0,2015.0,Sports,37.0,69.0,0.05,0.0,0.1,0.98
68,2506,195.0,21.0,2002.0,Shooter,37.0,55.0,0.22,0.0,0.03,0.82
69,16023,497.0,15.0,2016.0,Action,75.0,0.0,0.0,0.01,0.0,0.01
70,7231,11.0,3.0,2008.0,Strategy,113.0,17.0,0.03,0.0,0.02,0.22
71,12212,319.0,10.0,1997.0,Platform,17.0,4.0,0.02,0.0,0.0,0.07
72,8919,239.0,11.0,2008.0,Sports,21.0,7.0,0.06,0.0,0.02,0.15
73,2545,500.0,10.0,1999.0,Role-Playing,40.0,7.0,0.05,0.63,0.05,0.81
74,5141,93.0,13.0,2015.0,Action,21.0,11.0,0.18,0.02,0.06,0.37
75,1373,235.0,12.0,2014.0,Sports,37.0,81.0,0.15,0.0,0.19,1.41
76,891,449.0,4.0,1998.0,Puzzle,89.0,80.0,0.6,0.2,0.07,1.93
77,11510,12.0,14.0,2012.0,Adventure,5.0,0.0,0.0,0.08,0.0,0.08
78,5885,178.0,11.0,2001.0,Sports,84.0,15.0,0.11,0.0,0.04,0.3
79,12873,151.0,9.0,2010.0,Shooter,110.0,5.0,0.0,0.0,0.0,0.05
80,14792,289.0,21.0,2006.0,Sports,37.0,2.0,0.01,0.0,0.0,0.03
81,2205,67.0,11.0,2003.0,Action,68.0,45.0,0.36,0.0,0.12,0.94
82,9946,240.0,15.0,2014.0,Role-Playing,57.0,2.0,0.02,0.06,0.01,0.12
83,10635,18.0,12.0,2012.0,Fighting,8.0,5.0,0.0,0.05,0.01,0.1
84,153,446.0,10.0,1996.0,Fighting,107.0,100.0,1.89,1.36,0.23,5.74
85,9264,13.0,12.0,2008.0,Adventure,13.0,9.0,0.03,0.0,0.02,0.14
86,11921,267.0,10.0,2000.0,Action,117.0,4.0,0.03,0.0,0.0,0.07
87,15356,86.0,9.0,2011.0,Simulation,1111,0.0,0.02,0.0,0.0,0.02
88,10568,58.0,20.0,2011.0,Misc,6.0,7.0,0.02,0.0,0.01,0.1
89,705,50.0,12.0,2012.0,Shooter,116.0,79.0,0.77,0.1,0.36,2.28
90,1014,82.0,11.0,2008.0,Simulation,68.0,70.0,0.66,0.01,0.22,1.75
91,7935,101.0,18.0,2010.0,Adventure,12.0,0.0,0.16,0.0,0.02,0.19
92,4653,202.0,5.0,2001.0,Platform,113.0,30.0,0.11,0.0,0.01,0.42
93,15322,506.0,5.0,2003.0,Sports,11.0,1.0,0.01,0.0,0.0,0.02
94,6788,153.0,10.0,1996.0,Sports,117.0,4.0,0.03,0.16,0.02,0.24
95,4966,186.0,18.0,2009.0,Sports,1.0,36.0,0.0,0.0,0.03,0.39
96,2912,285.0,20.0,2007.0,Sports,37.0,59.0,0.0,0.0,0.05,0.7
97,3779,196.0,10.0,1996.0,Misc,107.0,30.0,0.2,0.0,0.03,0.53
98,3385,187.0,11.0,2004.0,Racing,113.0,29.0,0.23,0.0,0.08,0.59
99,7161,469.0,11.0,2004.0,Shooter,87.0,11.0,0.09,0.0,0.03,0.22
100,630,138.0,17.0,1992.0,Role-Playing,111.0,0.0,0.0,2.43,0.02,2.45
101,5653,448.0,8.0,1991.0,Puzzle,18.0,0.0,0.0,0.32,0.0,0.32
102,11661,302.0,11.0,2009.0,Misc,116.0,4.0,0.03,0.0,0.01,0.08
103,5515,92.0,11.0,2006.0,Role-Playing,117.0,9.0,0.07,0.15,0.02,0.33
104,7009,436.0,13.0,2015.0,Role-Playing,87.0,9.0,0.1,0.0,0.04,0.23
105,5661,365.0,10.0,1997.0,Adventure,4.0,18.0,0.12,0.0,0.02,0.32
106,1118,473.0,10.0,1999.0,Shooter,102.0,74.0,0.63,0.0,0.08,1.64
107,7605,404.0,10.0,1998.0,Racing,107.0,11.0,0.08,0.0,0.01,0.2
108,699,342.0,12.0,2009.0,Sports,68.0,30.0,1.27,0.46,0.26,2.28
109,14345,102.0,3.0,2009.0,Racing,132.0,3.0,0.0,0.0,0.0,0.03
110,2613,410.0,20.0,2009.0,Role-Playing,110.0,32.0,0.2,0.21,0.06,0.79
111,7167,398.0,6.0,2002.0,Role-Playing,13.0,17.0,0.04,0.0,0.01,0.22
112,15766,100.0,9.0,2014.0,Role-Playing,43.0,0.0,0.02,0.0,0.0,0.02
113,7641,378.0,18.0,2010.0,Misc,87.0,0.0,0.17,0.0,0.03,0.2
114,15896,183.0,14.0,2008.0,Adventure,57.0,0.0,0.0,0.02,0.0,0.02
115,3685,16.0,11.0,2003.0,Misc,25.0,27.0,0.21,0.0,0.07,0.55
116,3387,224.0,20.0,2012.0,Sports,106.0,7.0,0.46,0.0,0.07,0.59
117,3253,343.0,12.0,2014.0,Sports,68.0,10.0,0.23,0.22,0.08,0.62
118,1064,106.0,12.0,2009.0,Role-Playing,37.0,76.0,0.44,0.08,0.22,1.69
119,16014,472.0,20.0,2006.0,Shooter,122.0,0.0,0.0,0.01,0.0,0.01
120,1819,270.0,0.0,1982.0,Shooter,13.0,79.0,0.06,0.0,0.01,1.12
121,5818,349.0,17.0,1996.0,Role-Playing,3.0,0.0,0.0,0.31,0.0,0.31
122,14031,489.0,10.0,1996.0,Misc,93.0,2.0,0.01,0.0,0.0,0.04
123,5340,422.0,16.0,1996.0,Fighting,24.0,0.0,0.0,0.35,0.0,0.35
124,14570,317.0,14.0,2012.0,Action,100.0,0.0,0.0,0.03,0.0,0.03
125,2043,37.0,19.0,2014.0,Action,89.0,34.0,0.28,0.1,0.3,1.01
126,9492,353.0,11.0,2002.0,Racing,6.0,6.0,0.05,0.0,0.02,0.13
127,12209,207.0,21.0,2005.0,Misc,68.0,5.0,0.01,0.0,0.0,0.07
128,15091,356.0,10.0,1999.0,Shooter,62.0,1.0,0.01,0.0,0.0,0.02
129,3008,1.0,3.0,2008.0,Misc,89.0,13.0,0.52,0.0,0.02,0.67
130,10029,123.0,14.0,2006.0,Shooter,34.0,10.0,0.01,0.0,0.01,0.11
131,8676,20.0,18.0,2009.0,Misc,6.0,14.0,0.0,0.0,0.01,0.16
132,10432,87.0,14.0,2006.0,Sports,41.0,0.0,0.0,0.1,0.0,0.1
133,16182,382.0,12.0,2006.0,Sports,106.0,0.0,0.0,0.01,0.0,0.01
134,4061,312.0,10.0,2001.0,Fighting,13.0,0.0,0.0,0.46,0.03,0.49
135,6168,177.0,11.0,2008.0,Action,34.0,12.0,0.02,0.0,0.14,0.28
136,7899,325.0,11.0,2006.0,Role-Playing,106.0,0.0,0.0,0.19,0.0,0.19
137,15931,305.0,12.0,2011.0,Fighting,68.0,0.0,0.0,0.02,0.0,0.02
138,16465,318.0,1.0,2011.0,Sports,77.0,1.0,0.0,0.0,0.0,0.01
139,12470,164.0,18.0,2009.0,Adventure,122.0,5.0,0.01,0.0,0.0,0.06
140,10472,512.0,18.0,2010.0,Misc,122.0,10.0,0.0,0.0,0.01,0.1
141,16574,165.0,14.0,2013.0,Adventure,99.0,0.0,0.0,0.01,0.0,0.01
142,13018,439.0,14.0,2010.0,Fighting,108.0,5.0,0.0,0.0,0.0,0.05
143,14941,409.0,21.0,2003.0,Fighting,81.0,2.0,0.01,0.0,0.0,0.02
144,9650,334.0,3.0,2010.0,Sports,68.0,0.0,0.0,0.13,0.0,0.13
145,14190,78.0,11.0,2004.0,Role-Playing,24.0,2.0,0.01,0.0,0.0,0.03
146,9261,243.0,21.0,2002.0,Fighting,24.0,9.0,0.03,0.01,0.0,0.14
147,2211,371.0,10.0,1999.0,Role-Playing,111.0,10.0,0.07,0.71,0.06,0.94
148,4911,83.0,3.0,2008.0,Misc,6.0,36.0,0.0,0.0,0.03,0.39
149,10596,46.0,3.0,2009.0,Role-Playing,87.0,6.0,0.0,0.03,0.0,0.1
150,2365,282.0,11.0,2005.0,Action,116.0,42.0,0.34,0.0,0.11,0.88
151,9303,215.0,18.0,2006.0,Puzzle,89.0,8.0,0.02,0.03,0.01,0.14
152,12657,465.0,9.0,2009.0,Action,37.0,0.0,0.05,0.0,0.01,0.06
153,16355,203.0,9.0,2007.0,Racing,113.0,0.0,0.01,0.0,0.0,0.01
154,13955,511.0,22.0,2014.0,Action,117.0,1.0,0.03,0.0,0.0,0.04
155,7108,499.0,14.0,2008.0,Role-Playing,103.0,9.0,0.0,0.12,0.01,0.23
156,6022,130.0,1.0,2012.0,Action,37.0,6.0,0.2,0.0,0.03,0.29
157,11102,265.0,18.0,2010.0,Misc,54.0,0.0,0.0,0.09,0.0,0.09
158,12292,520.0,11.0,2003.0,Racing,4.0,3.0,0.02,0.0,0.01,0.06
159,2795,467.0,3.0,2007.0,Simulation,37.0,58.0,0.05,0.0,0.06,0.73
160,13209,431.0,5.0,2001.0,Puzzle,122.0,3.0,0.01,0.0,0.0,0.05
161,451,107.0,11.0,2002.0,Fighting,13.0,98.0,0.28,0.55,0.08,3.09
162,5248,148.0,0.0,1981.0,Action,78.0,33.0,0.02,0.0,0.0,0.36
163,9538,293.0,10.0,1995.0,Sports,107.0,0.0,0.0,0.12,0.01,0.13
164,1266,367.0,12.0,2008.0,Misc,73.0,84.0,0.2,0.0,0.16,1.5
165,7856,427.0,21.0,2004.0,Role-Playing,83.0,14.0,0.04,0.0,0.01,0.19
166,11133,189.0,6.0,2003.0,Shooter,13.0,7.0,0.02,0.0,0.0,0.09
167,2160,411.0,8.0,1986.0,Shooter,54.0,32.0,0.06,0.57,0.01,0.96
168,7446,287.0,6.0,2002.0,Sports,37.0,16.0,0.04,0.0,0.01,0.21
169,1045,84.0,3.0,2007.0,Misc,86.0,86.0,0.41,0.0,0.15,1.71
170,3661,31.0,3.0,2008.0,Sports,6.0,50.0,0.0,0.0,0.04,0.55
171,7090,531.0,18.0,2010.0,Sports,68.0,8.0,0.1,0.03,0.02,0.23
172,13903,471.0,3.0,2012.0,Action,87.0,0.0,0.0,0.04,0.0,0.04
173,9142,163.0,11.0,2005.0,Sports,107.0,7.0,0.05,0.0,0.02,0.14
174,7983,220.0,11.0,2002.0,Role-Playing,117.0,9.0,0.07,0.0,0.02,0.19
175,4580,247.0,6.0,2003.0,Shooter,37.0,33.0,0.09,0.0,0.01,0.42
176,14795,8.0,15.0,2014.0,Adventure,57.0,0.0,0.0,0.03,0.0,0.03
177,10285,91.0,13.0,2016.0,Role-Playing,87.0,0.0,0.09,0.0,0.02,0.11
178,16148,280.0,9.0,2012.0,Puzzle,44.0,0.0,0.01,0.0,0.0,0.01
179,6643,7.0,10.0,1994.0,Strategy,10.0,0.0,0.0,0.24,0.02,0.25
180,2097,379.0,18.0,2009.0,Action,128.0,73.0,0.05,0.0,0.07,0.99
181,6173,363.0,18.0,2010.0,Sports,77.0,27.0,0.0,0.0,0.02,0.28
182,9350,185.0,11.0,2005.0,Misc,30.0,0.0,0.0,0.13,0.0,0.13
183,5630,338.0,6.0,2003.0,Action,122.0,25.0,0.06,0.0,0.01,0.32
184,15932,260.0,15.0,2011.0,Misc,107.0,0.0,0.0,0.02,0.0,0.02
185,8420,43.0,20.0,2009.0,Sports,43.0,13.0,0.03,0.0,0.01,0.17
186,9343,228.0,18.0,2008.0,Sports,68.0,12.0,0.0,0.01,0.01,0.13
187,6558,323.0,20.0,2005.0,Action,122.0,20.0,0.03,0.0,0.02,0.26
188,12149,352.0,14.0,2011.0,Role-Playing,53.0,2.0,0.0,0.05,0.0,0.07
189,3009,496.0,12.0,2007.0,Shooter,85.0,33.0,0.24,0.0,0.11,0.67
190,710,214.0,5.0,2002.0,Platform,89.0,87.0,0.1,0.91,0.04,2.27
191,14940,458.0,12.0,2012.0,Action,87.0,0.0,0.0,0.02,0.0,0.02
192,6221,385.0,3.0,2010.0,Misc,128.0,26.0,0.0,0.0,0.02,0.28
193,8692,193.0,14.0,2005.0,Shooter,113.0,14.0,0.0,0.0,0.01,0.16
194,15194,384.0,6.0,2004.0,Shooter,52.0,2.0,0.0,0.0,0.0,0.02
195,2068,492.0,20.0,2012.0,Action,113.0,62.0,0.21,0.0,0.07,1.0
196,3271,33.0,10.0,1999.0,Sports,3.0,21.0,0.14,0.23,0.04,0.62
197,3524,476.0,14.0,2007.0,Action,36.0,21.0,0.23,0.0,0.13,0.57
198,8346,470.0,12.0,2012.0,Role-Playing,90.0,6.0,0.03,0.06,0.02,0.17
199,10472,512.0,18.0,2010.0,Misc,122.0,10.0,0.0,0.0,0.01,0.1
200,4212,290.0,20.0,2014.0,Sports,37.0,35.0,0.07,0.0,0.04,0.47
201,3726,110.0,11.0,2002.0,Role-Playing,40.0,0.0,0.0,0.54,0.0,0.54
202,4020,64.0,18.0,2007.0,Racing,113.0,45.0,0.0,0.0,0.04,0.49
203,4611,417.0,5.0,2004.0,Action,122.0,30.0,0.11,0.0,0.01,0.42
204,6356,426.0,11.0,2007.0,Racing,113.0,13.0,0.1,0.0,0.03,0.27
205,12244,508.0,3.0,2007.0,Platform,34.0,4.0,0.01,0.0,0.01,0.07
206,8644,351.0,10.0,1999.0,Racing,109.0,0.0,0.0,0.15,0.01,0.16
207,4370,128.0,1.0,2014.0,Sports,37.0,9.0,0.33,0.0,0.03,0.45
208,11625,85.0,16.0,1998.0,Adventure,106.0,0.0,0.0,0.08,0.0,0.08
209,7411,53.0,14.0,2007.0,Sports,1.0,19.0,0.0,0.0,0.02,0.21
210,6974,218.0,15.0,2016.0,Action,128.0,7.0,0.11,0.0,0.05,0.23
211,12153,192.0,3.0,2008.0,Simulation,122.0,5.0,0.01,0.0,0.0,0.07
212,11348,15.0,18.0,2010.0,Action,26.0,8.0,0.0,0.0,0.01,0.08
213,11320,48.0,6.0,2002.0,Puzzle,54.0,6.0,0.02,0.0,0.0,0.08
214,3105,507.0,14.0,2008.0,Platform,113.0,29.0,0.22,0.0,0.14,0.65
215,5000,451.0,5.0,2005.0,Platform,63.0,27.0,0.1,0.0,0.01,0.38
216,9183,88.0,16.0,1997.0,Adventure,58.0,0.0,0.0,0.14,0.0,0.14
217,8214,21.0,11.0,2001.0,Shooter,84.0,9.0,0.07,0.0,0.02,0.17
218,9026,179.0,18.0,2010.0,Action,13.0,13.0,0.0,0.0,0.01,0.14
219,1912,407.0,3.0,2008.0,Simulation,37.0,60.0,0.3,0.0,0.11,1.08
220,11266,297.0,15.0,2014.0,Role-Playing,90.0,3.0,0.02,0.03,0.01,0.08
221,1274,56.0,11.0,2006.0,Misc,107.0,0.0,1.1,0.0,0.39,1.49
222,3160,358.0,7.0,1999.0,Platform,122.0,39.0,0.22,0.0,0.02,0.64
223,14739,112.0,3.0,2007.0,Role-Playing,87.0,0.0,0.0,0.03,0.0,0.03
224,15735,120.0,14.0,2012.0,Action,57.0,0.0,0.0,0.02,0.0,0.02
225,2511,416.0,18.0,2009.0,Action,71.0,43.0,0.3,0.0,0.08,0.82
226,3757,412.0,9.0,2015.0,Shooter,37.0,13.0,0.37,0.0,0.04,0.54
227,6557,26.0,18.0,2007.0,Action,113.0,24.0,0.0,0.0,0.02,0.26
228,12756,136.0,15.0,2012.0,Adventure,66.0,0.0,0.0,0.06,0.0,0.06
229,5149,388.0,17.0,1994.0,Role-Playing,14.0,0.0,0.0,0.37,0.0,0.37
230,12598,188.0,14.0,2012.0,Simulation,87.0,0.0,0.0,0.06,0.0,0.06
231,1411,154.0,3.0,2009.0,Puzzle,1.0,67.0,0.43,0.01,0.13,1.38
232,12330,419.0,14.0,2008.0,Fighting,60.0,5.0,0.0,0.01,0.0,0.06
233,1032,75.0,5.0,2002.0,Platform,123.0,75.0,0.7,0.0,0.08,1.73
234,2883,335.0,11.0,2004.0,Action,113.0,35.0,0.27,0.0,0.09,0.71
235,11124,447.0,21.0,2004.0,Racing,13.0,7.0,0.02,0.0,0.0,0.09
236,14070,77.0,3.0,2008.0,Puzzle,31.0,0.0,0.03,0.0,0.0,0.04
237,3504,286.0,11.0,2009.0,Sports,37.0,28.0,0.22,0.0,0.07,0.58
238,9421,477.0,21.0,2006.0,Action,36.0,10.0,0.03,0.0,0.0,0.13
239,13763,191.0,12.0,2007.0,Adventure,106.0,0.0,0.0,0.04,0.0,0.04
240,10453,30.0,5.0,2005.0,Racing,113.0,7.0,0.03,0.0,0.0,0.1
241,12593,430.0,15.0,2016.0,Action,87.0,0.0,0.0,0.06,0.0,0.06
242,453,515.0,8.0,1986.0,Sports,87.0,94.0,0.45,0.64,0.07,3.08
243,3735,63.0,12.0,2011.0,Racing,34.0,22.0,0.23,0.0,0.09,0.54
244,4626,201.0,7.0,1999.0,Sports,68.0,0.0,0.0,0.39,0.03,0.42
245,11234,381.0,2.0,1999.0,Sports,106.0,0.0,0.0,0.09,0.0,0.09
246,13812,173.0,18.0,2010.0,Sports,124.0,4.0,0.0,0.0,0.0,0.04
247,5866,528.0,3.0,2008.0,Strategy,113.0,24.0,0.03,0.0,0.02,0.3
248,16288,368.0,20.0,2012.0,Action,130.0,0.0,0.0,0.01,0.0,0.01
249,9729,139.0,13.0,2015.0,Action,110.0,0.0,0.05,0.06,0.01,0.12
250,7778,113.0,3.0,2009.0,Misc,131.0,18.0,0.0,0.0,0.01,0.19
251,2478,468.0,12.0,2007.0,Shooter,87.0,32.0,0.33,0.05,0.14,0.84
252,419,236.0,13.0,2015.0,Sports,37.0,101.0,0.3,0.0,0.59,3.22
253,6368,238.0,18.0,2010.0,Sports,116.0,25.0,0.0,0.0,0.02,0.27
254,13376,41.0,9.0,2009.0,Adventure,31.0,0.0,0.04,0.0,0.01,0.05
255,2386,301.0,10.0,1997.0,Racing,59.0,42.0,0.29,0.09,0.06,0.87
256,14763,457.0,22.0,2014.0,Sports,124.0,2.0,0.0,0.0,0.0,0.03
257,1894,401.0,20.0,2010.0,Racing,106.0,64.0,0.26,0.0,0.09,1.09
258,14141,516.0,11.0,2006.0,Misc,6.0,2.0,0.01,0.0,0.0,0.03
259,8161,70.0,6.0,2005.0,Adventure,52.0,14.0,0.04,0.0,0.0,0.18
260,6044,303.0,6.0,1111,Action,124.0,22.0,0.06,0.0,0.01,0.29
261,7759,321.0,17.0,1996.0,Misc,91.0,0.0,0.0,0.19,0.0,0.19
262,15546,336.0,1.0,2012.0,Action,56.0,0.0,0.0,0.02,0.0,0.02
263,10170,386.0,12.0,2011.0,Adventure,113.0,0.0,0.0,0.11,0.0,0.11
264,6564,105.0,5.0,2004.0,Misc,1111,18.0,0.07,0.0,0.0,0.26
265,5207,281.0,7.0,1997.0,Action,68.0,7.0,0.02,0.23,0.04,0.36
266,15681,4.0,1.0,2012.0,Misc,15.0,0.0,0.02,0.0,0.0,0.02
267,14016,376.0,3.0,2010.0,Strategy,117.0,0.0,0.0,0.04,0.0,0.04
268,12387,6.0,17.0,1995.0,Simulation,95.0,0.0,0.0,0.06,0.0,0.06
269,1962,502.0,12.0,2007.0,Sports,106.0,23.0,0.59,0.03,0.22,1.06
270,15780,518.0,9.0,2001.0,Strategy,126.0,0.0,0.01,0.0,0.0,0.02
271,7020,288.0,11.0,2002.0,Sports,107.0,11.0,0.09,0.0,0.03,0.23
272,10163,263.0,18.0,2007.0,Simulation,87.0,0.0,0.0,0.11,0.0,0.11
273,9486,354.0,20.0,2011.0,Action,37.0,6.0,0.06,0.0,0.01,0.13
274,7515,28.0,11.0,2005.0,Sports,13.0,10.0,0.08,0.0,0.03,0.2
275,14612,24.0,22.0,2016.0,Action,117.0,1.0,0.01,0.0,0.0,0.03
